namec,text
depression,this is deep isnt it! double tap for more facts follow @knowledgefusion . .  depression tiger wildlife mother love feelings
depression,throwbackthursday ! back when i used to make comics on my computer instead of my phone. so many more steps.
depression,third video for my asmr carnival food week! link in bio for full video  can you eat a whole onion
depression,move it. today_s smile goal: have a dance off! these critters were chosen by my patreon patrons! if you  from this comic  consider helping me make more by pledging at my patreon (even $1 helps!) : patreon.com/4amshower. i_m selling prints and open for commissions! email me at 4amshower@gmail.com for more info! if you have a favorite animal and topic such as love or depression  comment and i might be able create a comic from it :)
depression,sad topographies  1. mistake island  jonesport  usa; 2. misery island  tasmania  australia; 3. sorrow islands  british columbia  canada; 4. hopeless road  dandridge  tennessee  usa; 5. all alone road  bradford  uk; 6. divorce beach  cabo san lucas  mexico; 7. pain lane / suffering lane  st. george_s island  bermuda; 8. useless islands  new zealand; 9. disappointment lake  california  usa.  like what i share support my work  buy me a coffee: ko-fi.com/fanmaps (clickable link in my bio)  via @sadtopographies  map world cartography geography earth planet sad depression island lake land water topography usa mexico canada uk australia mistake misery beach hopeless sorrow allalone divorce pain suffering useless disappointment
depression,take care of yourself and try to be happy. then you can take better care of others as well. metime depression anxiety juggunkazim juggunsays thoughtoftheday wordsofwisdom
depression,ive never accepted the idea of broken. i dont think i ever will. i dont understand peoples obsession with being called broken. what is broken though i will say that in spite of my states throughout life  the meaning of my existence has remained constant. therefore  a broken crayon still colors. my state doesn_t determine the necessity for my existence.  lifequotestoliveby life depression depressionblog depressionsucks anxiety anxietyrelief anxietyquotes mentalhealth mentalabuse mentalillnessawareness mentalillness postivevibes bjjvsdepression
depression,im honestly just not okay right now.  credit to: x-lil-sad-lil-anxious-x.tumblr.com  block me do not report me.  if you are the content creator and want me to take it down  please just message me requesting to do so.  i do not reply to messages unless they are about taking down my posts.  ignore the tags: sad depressed depression aesthetic blue purple text quote true truth relevant relatable mood home love crush broken vent ventaccount
depression,faded life atm emotion lost confusion mood reailty real pain stress numb deep depression tired ouch emo whatever whocares anxiety
depression,i know kims weakneses  ........... i g n o r e t a g s memes memesdaily meme memestagram yeet yote despacito depression thisisamerica northcorea usa america kim donald freands freandship forever followforfollow follow4follow like4like instagramhub
depression,i want a tattoo not a tattoo that_s meaningless i want a tattoo that tells a story a story about how i_ve grown as a person i want something that shows all the mountains i climbed and all the wars that i fought i want to make my sad  beautiful  tragic story into a beautiful peice of art i want something beautiful that displays all the pain and rain storms that i have gone through i want people to now how strong i am and how much i have overcome just by simply looking at a peice of art i want to tell a story the story of the person i am today so i dont want any meaningless tattoo i want my story expressed as art i dont want people to see my scars i want people to see and the strong  smart  incredible and beautiful woman i am today i may never be able to erase my scars from the past but thats okay my scars my tears my screams the challenges and battles the wars the pain and heartbreak everything just made me ... me little littlegirl littlespace littleone babygirl baby princess ageregression cglre littleaesthetics cute aesthetics pink purple blue glitter pastel sfw tumblr paci paciprincess migraineprincess depression depressed poetry
