namec,text
depression,This is deep isnt it! Double tap for more facts Follow @knowledgefusion . .  depression tiger wildlife mother love feelings
depression,throwbackthursday ! Back when I used to make comics on my computer instead of my phone. So many more steps.
depression,Third video for my ASMR Carnival Food Week! Link in bio for full video  Can you eat a whole onion
depression,Move it. Today_s smile goal: have a dance off! these critters were chosen by my Patreon patrons! If you  from this comic  consider helping me make more by pledging at my Patreon (even $1 helps!) : Patreon.com/4amShower. I_m selling prints and open for commissions! Email me at 4amshower@gmail.com for more info! If you have a favorite animal and topic such as love or depression  comment and I might be able create a comic from it :)
depression,Sad Topographies  1. Mistake Island  Jonesport  USA; 2. Misery Island  Tasmania  Australia; 3. Sorrow Islands  British Columbia  Canada; 4. Hopeless Road  Dandridge  Tennessee  USA; 5. All Alone Road  Bradford  UK; 6. Divorce Beach  Cabo San Lucas  Mexico; 7. Pain Lane / Suffering Lane  St. George_s Island  Bermuda; 8. Useless Islands  New Zealand; 9. Disappointment Lake  California  USA.  Like what I share Support my work  buy me a coffee: ko-fi.com/fanmaps (clickable link in my bio)  Via @sadtopographies  map world cartography geography earth planet sad depression island lake land water topography usa mexico canada uk australia mistake misery beach hopeless sorrow allalone divorce pain suffering useless disappointment
depression,Take care of yourself and try to be happy. Then you can take better care of others as well. metime depression anxiety JuggunKazim JuggunSays thoughtoftheday wordsofwisdom
depression,Ive never accepted the idea of broken. I dont think I ever will. I dont understand peoples obsession with being called broken. What is broken Though I will say that in spite of my states throughout life  the meaning of my existence has remained constant. Therefore  a broken crayon still colors. My state doesn_t determine the necessity for my existence.  lifequotestoliveby life depression depressionblog depressionsucks anxiety anxietyrelief anxietyquotes mentalhealth mentalabuse mentalillnessawareness mentalillness postivevibes bjjvsdepression
depression,Im honestly just not okay right now.  Credit to: x-lil-sad-lil-anxious-x.tumblr.com  BLOCK ME DO NOT REPORT ME.  If you are the content creator and want me to take it down  please just message me requesting to do so.  I do not reply to messages unless they are about taking down my posts.  Ignore the tags: sad depressed depression aesthetic blue purple text quote true truth relevant relatable mood home love crush broken vent ventaccount
depression,faded life atm emotion lost confusion mood reailty real pain stress numb deep depression tired ouch emo whatever whocares anxiety
depression,I know Kims weakneses  ........... I G N O R E T A G S memes memesdaily meme memestagram yeet yote despacito depression thisisamerica northcorea usa america kim donald freands freandship forever followforfollow follow4follow like4like instagramhub
depression,I want a tattoo Not a tattoo that_s meaningless I want a tattoo that tells a story A story about how I_ve grown as a person I want something that shows all the mountains I climbed And all the wars that I fought I want to make my sad  beautiful  tragic story into a beautiful peice of art I want something beautiful that displays all the pain and rain storms that I have gone through I want people to now how strong I am and how much I have overcome just by simply looking at a peice of art I want to tell a story The story of the person I am today So I dont want any meaningless tattoo I want my story expressed as art I dont want people to see my scars I want people to see and the strong  smart  incredible and beautiful woman I am today I may never be able to erase my scars from the past But thats okay My scars My tears My screams The challenges And battles The wars The pain and heartbreak Everything just Made me ... Me little littlegirl littlespace littleone babygirl baby princess ageregression cglre littleaesthetics cute aesthetics pink purple blue glitter pastel sfw tumblr paci paciprincess migraineprincess depression depressed poetry
